"id","classe","frente","achado","arquivos_provaveis","risco","depende_de_CAT08","ordem","decisao_recomendada","criterio_de_aceite"
"P10-001","A_decisao_documental","CAT-08","Executavel trata CAT-08 como categoria publica; PRODUCAO trata como HOLD/DEVOLVER","C:\dev\PRODUÇÃO\00_CANONICO; C:\dev\PRODUÇÃO\95_RELATORIOS_AUDITORIA_PRODUCAO","alto","sim","1","Decidir Hipotese A/B/C na camada documental","Decisao formal registrada antes de qualquer patch executavel"
"P10-002","D_bloqueado","Registry CAT-08","CAT-08 esta em src/data/categories.registry.ts como canonica","blog/src/data/categories.registry.ts","alto","sim","bloqueado","Nao alterar agora","Nenhum patch em registry antes da decisao P0"
"P10-003","D_bloqueado","Conteudo CAT-08","Cinco posts CAT-08 estao publicos com noindex false","blog/src/content/blog/cat08-*.md","alto","sim","bloqueado","Nao alterar conteudo agora","Posts preservados ate decisao documental"
"P10-004","D_bloqueado","Area CAT-08","Area Direito do Consumidor e Responsabilidade Civil esta ativa","blog/src/content/areas/direito-do-consumidor-responsabilidade-civil.md","alto","sim","bloqueado","Nao alterar area agora","Area preservada ate decisao documental"
"P10-005","D_bloqueado","Decap CAT-08","CMS permite CAT-08 em posts e areas","blog/public/admin/config.yml","alto","sim","bloqueado","Nao alterar Decap agora","CMS preservado ate decisao CAT-08"
"P10-006","C_patch_reversivel","QA governanca","qa:blog valida implementacao e pode gerar falso GO governado","blog/scripts/qa-blog-publication.mjs; possivel manifesto documental","alto","sim","2","Criar trava de QA apos decisao P0","QA falha se estado publico contrariar status documental"
"P10-007","B_correcao_tecnica_segura","Categorias vazias","CAT-01 a CAT-07 possuem 0 posts publicos mas rotas B2 entram no sitemap","blog/src/pages/blog/categoria/[slug]/[...page].astro; blog/astro.config.mjs; blog/scripts/qa-blog-publication.mjs","medio_alto","nao","3","Noindex e excluir sitemap enquanto postCount=0","Categorias vazias fora do sitemap e com noindex"
"P10-008","B_correcao_tecnica_segura","B1 categorias vazias","B1 mostra categorias vazias como em preparacao sem link dominante","blog/src/pages/blog/index.astro","medio","nao","3","Preservar padrao e validar no QA","Categorias vazias nao recebem link dominante"
"P10-009","B_correcao_tecnica_segura","Variaveis de dominio","PUBLIC_SITE_ORIGIN, PUBLIC_MAIN_SITE_URL e PUBLIC_BLOG_SITE_URL ausentes localmente; fallbacks podem publicar host errado","blog/src/consts.ts; blog/astro.config.mjs; ambiente de deploy","alto","nao","4","Exigir env explicita para publicacao","Canonicals usam hosts esperados em build de publicacao"
"P10-010","B_correcao_tecnica_segura","Robots vs sitemap","blog/public/robots.txt aponta sitemap no dominio raiz; sitemap Astro usa subdominio do blog","blog/public/robots.txt; blog/astro.config.mjs; QA","alto","nao","5","Corrigir apos decisao de host","Robots aponta para sitemap servido no host correto"
"P10-011","A_decisao_documental","Arquitetura site/blog","Root estatico e Astro em blog disputam rotas institucionais","index.html; robots.txt; sitemap.xml; _redirects; blog/src/pages/index.astro; blog/src/pages/areas/[slug].astro","alto","nao","6","Definir fonte executavel do site institucional","Apenas uma arquitetura governa dominio principal"
"P10-012","C_patch_reversivel","Publication lock","Falta modo tecnico para impedir indexacao em estado HOLD","blog/astro.config.mjs; blog/src/layouts/BaseLayout.astro; QA","medio","sim","2","Criar modo de contencao reversivel","Build em HOLD nao gera sitemap/indexacao indevida"
"P10-013","B_correcao_tecnica_segura","Canonical validation","Nao ha QA dedicado para canonical por host e superficie","blog/scripts/qa-blog-publication.mjs ou novo script","medio","nao","4","Adicionar validacao de canonical","QA compara home, areas, B1, B2 e B3 com hosts esperados"
"P10-014","C_patch_reversivel","CAT-08 experimental","Se Hipotese B for escolhida, CAT-08 deve existir sem indexacao publica ampla","blog/src/content/blog/cat08-*.md; blog/src/pages/blog/[slug].astro; blog/astro.config.mjs; QA","alto","sim","apos_P0","Aplicar noindex/exclusao de sitemap para CAT-08","CAT-08 preservada como experimental sem sitemap e sem index"
"P10-015","D_bloqueado","CAT-08 removida","Se Hipotese C for escolhida, remocao exige migracao coordenada","registry; canonical-content; content; Decap; QA; redirects","alto","sim","apos_P0","Nao remover sem plano de migracao","Build passa sem links quebrados e sem rotas orfas"
"P10-016","B_correcao_tecnica_segura","Relatorios docs","Relatorio 09 e Prompt 10 podem ser commitados como docs isolados","blog/relatorios_codex/09_TRAVA_TECNICA_PUBLICACAO_BLOG.md; relatorios_codex/10_*","baixo","nao","docs","Commitar separado de codigo","Commit contem apenas relatorios"
